P,4978,2,14420.55921,0,B,100,MCHP,96.27,17762
P,13,2,14432.30956,0,B,20,AAPL,243.12,17769
P,4978,6,14433.64146,0,B,218,MCHP,96.27,17772
P,13,2,14451.78684,0,B,1,AAPL,243.12,17774
P,8102,2,14465.8281,0,B,700,UGAZ,15.63,17788
P,13,2,14488.41615,0,B,21,AAPL,243.17,17796
P,13,2,14529.56117,0,B,100,AAPL,243.21,17807
P,13,2,14533.04266,0,B,100,AAPL,243.21,17808
P,7966,2,14539.4241,0,B,100,TSLA,313.85,17811
P,7966,4,14539.4241,0,B,100,TSLA,313.87,17812
P,13,2,14541.89228,0,B,500,AAPL,243.3,17816
P,13,4,14542.8967,0,B,100,AAPL,243.3,17818
P,7966,4,14550.62287,0,B,17,TSLA,314,17824
P,13,2,14576.04296,0,B,5,AAPL,243.3,17831
P,13,2,14616.92368,0,B,131,AAPL,243.12,17843
P,13,4,14616.92368,0,B,29,AAPL,243.02,17844
P,13,2,14622.65309,0,B,2,AAPL,243.02,17845
P,3451,2,14630.94623,0,B,1,GOOGL,1260.52,17846
P,8386,2,14633.1298,0,B,200,VNE,17.4,17848
P,8386,2,14633.12987,0,B,200,VNE,17.4,17849
P,8386,2,14633.13063,0,B,100,VNE,17.4,17850
P,8386,2,14633.13905,0,B,200,VNE,17.49,17851
P,8386,2,14633.13916,0,B,200,VNE,17.49,17852
P,8386,2,14633.13975,0,B,100,VNE,17.49,17853
P,7966,2,14649.55423,0,B,10,TSLA,312.53,17854
P,7629,2,14655.83115,0,B,298,T,38,17855
P,7966,2,14660.42092,0,B,90,TSLA,312.53,17856
P,7629,2,14666.09904,0,B,144,T,38,17862
P,338,2,14675.87446,0,B,5,AMD,32.49,17866
P,7629,2,14707.76276,0,B,100,T,38,17871
P,7629,2,14712.83231,0,B,100,T,38,17877
P,7966,2,14717.14179,0,B,100,TSLA,313.46,17879
P,7428,2,14717.79867,0,B,30,SPY,303.16,17880
P,7629,2,14717.89886,0,B,100,T,38,17882
P,338,2,14762.57078,0,B,147,AMD,32.46,17896
P,338,4,14845.53998,0,B,17,AMD,32.4,17930
P,7966,2,14887.15382,0,B,100,TSLA,313.52,17943
P,7629,2,14893.06031,0,B,299,T,38,17949
P,7629,2,14893.12697,0,B,100,T,38,17950
P,7966,2,14902.77373,0,B,100,TSLA,313.52,17955
P,4478,2,14906.6962,0,B,100,JPM,126.15,17957
P,338,2,14924.58388,0,B,183,AMD,32.34,17960
P,338,4,14924.58388,0,B,217,AMD,32.33,17961
P,338,2,14924.58389,0,B,32,AMD,32.33,17962
P,7629,2,14966.87487,0,B,300,T,38,17971
P,7629,2,14966.87687,0,B,100,T,38,17972
P,7966,2,14970.81247,0,B,50,TSLA,313.56,17973
P,338,4,14971.04474,0,B,1500,AMD,32.3,17975
P,7629,2,14977.37124,0,B,100,T,38,17979
P,4946,2,15188.79591,0,B,4,MAT,12.42,18061
P,7629,2,15224.22733,0,B,299,T,38,18068
P,7629,2,15229.4358,0,B,100,T,38,18070
P,7629,2,15234.50203,0,B,100,T,38,18072
P,7629,2,15239.56839,0,B,100,T,38,18073
P,7629,2,15242.37804,0,B,299,T,38,18075
P,8102,2,15296.00368,0,B,600,UGAZ,15.86,18083
P,1151,2,15348.6847,0,B,100,BYND,83.85,18090
P,2754,7,15421.72788,0,B,1562,FCAU,14.16,18101
P,8102,2,15472.71167,0,B,600,UGAZ,15.86,18108
P,8102,2,15472.71169,0,B,200,UGAZ,15.86,18109
P,7629,2,15489.14415,0,B,300,T,38,18111
P,7629,2,15491.74137,0,B,100,T,38,18113
P,8102,2,15643.37263,0,B,300,UGAZ,15.87,18153
P,3451,2,15791.86132,0,B,2,GOOGL,1259.95,18174
P,3451,2,15902.94382,0,B,3,GOOGL,1259.95,18187
P,7629,2,16210.68253,0,B,100,T,38,18222
P,1151,4,16239.67292,0,B,15,BYND,83.75,18231
P,1151,4,16400.87535,0,B,5,BYND,83.75,18265
P,1151,2,16411.54969,0,B,50,BYND,84.25,18268
P,7629,2,16467.61537,0,B,100,T,38,18276
P,7629,2,16467.62876,0,B,197,T,38,18277
P,319,2,16664.80712,0,B,100,ALV,79,18303
P,868,2,16714.90356,0,B,300,BIIB,302.98,18309
P,338,2,16772.39551,0,B,200,AMD,32.12,18316
P,338,4,16772.39551,0,B,140,AMD,32.12,18317
P,8244,2,16782.84422,0,B,50,UVXY,19.99,18318
P,5255,4,16810.70221,0,B,100,MS,46.25,18324
P,3451,2,16816.27654,0,B,13,GOOGL,1259.95,18327
P,7966,2,16829.32203,0,B,2,TSLA,313.68,18329
P,1151,2,16927.01028,0,B,150,BYND,84.19,18347
P,7966,2,16952.43048,0,B,6,TSLA,313.68,18356
P,338,2,16979.25979,0,B,43,AMD,32.16,18371
P,1151,6,17074.43808,0,B,90,BYND,84.25,18400
P,599,2,17105.67423,0,B,100,AU,19.78,18407
P,1151,6,17182.46991,0,B,90,BYND,84.25,18430
P,1151,4,17187.72575,0,B,100,BYND,84.25,18436
P,338,4,17194.26797,0,B,100,AMD,32.01,18438
P,7966,2,17256.54572,0,B,2,TSLA,313.68,18464
P,1151,4,17350.93297,0,B,80,BYND,84.2,18495
P,338,2,17356.53919,0,B,50,AMD,31.82,18498
P,338,2,17375.70557,0,B,500,AMD,31.81,18503
P,338,2,17380.25114,0,B,100,AMD,31.81,18506
P,338,4,17442.60637,0,B,100,AMD,31.81,18516
P,338,8,17505.973,0,B,131,AMD,31.8,18549
P,13,2,17534.80483,0,B,127,AAPL,243.49,18557
