timestamp,timestamp,id,tick_type,exchange,price,size
2021-06-23 13:34:07.054000+00:00,2021-06-23 13:34:07.054000+00:00,4,T,FINRA,1.1916,319
2021-06-23 13:34:08.678000+00:00,2021-06-23 13:34:08.678000+00:00,5,T,FINRA,1.1962,3600
2021-06-23 13:34:45.866000+00:00,2021-06-23 13:34:45.866000+00:00,17,T,FINRA,1.195,1
2021-06-23 13:34:45.973000+00:00,2021-06-23 13:34:45.973000+00:00,16,T,FINRA,1.195,3
2021-06-23 13:34:58.117000+00:00,2021-06-23 13:34:58.117000+00:00,18,T,FINRA,1.195,3
2021-06-23 13:35:01.267000+00:00,2021-06-23 13:35:01.267000+00:00,6,T,FINRA,1.1978,250
2021-06-23 13:35:42.436000+00:00,2021-06-23 13:35:42.436000+00:00,19,T,FINRA,1.1999,3333
2021-06-23 13:36:11.879000+00:00,2021-06-23 13:36:11.879000+00:00,20,T,FINRA,1.1901,3333
2021-06-23 13:36:21.629000+00:00,2021-06-23 13:36:21.629000+00:00,7,T,FINRA,1.2,500
2021-06-23 13:36:26.923000+00:00,2021-06-23 13:36:26.923000+00:00,21,T,FINRA,1.1913,1000
2021-06-23 13:36:45.155416+00:00,2021-06-23 13:36:45.155416+00:00,15,T,EDGX,1.19,9
2021-06-23 13:36:45.155416+00:00,2021-06-23 13:36:45.155416+00:00,7,T,BATS,1.19,191
2021-06-23 13:37:17.110000+00:00,2021-06-23 13:37:17.110000+00:00,8,T,FINRA,1.19,1000
2021-06-23 13:37:33.972000+00:00,2021-06-23 13:37:33.972000+00:00,9,T,FINRA,1.199,5000
2021-06-23 13:37:39.965000+00:00,2021-06-23 13:37:39.965000+00:00,22,T,FINRA,1.195,23
2021-06-23 13:38:04.260000+00:00,2021-06-23 13:38:04.260000+00:00,23,T,FINRA,1.19,2500
2021-06-23 13:38:32.823320163+00:00,2021-06-23 13:38:32.823320163+00:00,7,T,NASDAQ_FUTURES,1.195,100
2021-06-23 13:38:32.823479058+00:00,2021-06-23 13:38:32.823479058+00:00,1,T,IEX,1.195,100
2021-06-23 13:38:32.825000+00:00,2021-06-23 13:38:32.825000+00:00,24,T,FINRA,1.2,200
2021-06-23 13:38:32.825000+00:00,2021-06-23 13:38:32.825000+00:00,25,T,FINRA,1.2,100
2021-06-23 13:38:32.825000+00:00,2021-06-23 13:38:32.825000+00:00,26,T,FINRA,1.2,100
2021-06-23 13:38:32.825613190+00:00,2021-06-23 13:38:32.825613190+00:00,1,T,BSE,1.2,100
2021-06-23 13:38:32.825715968+00:00,2021-06-23 13:38:32.825715968+00:00,1,T,NYSE,1.2,100
2021-06-23 13:38:32.826813+00:00,2021-06-23 13:38:32.826813+00:00,16,T,EDGX,1.2,550
2021-06-23 13:38:32.826813+00:00,2021-06-23 13:38:32.826813+00:00,17,T,EDGX,1.2,400
2021-06-23 13:38:32.826813+00:00,2021-06-23 13:38:32.826813+00:00,18,T,EDGX,1.2,500
2021-06-23 13:38:32.826813+00:00,2021-06-23 13:38:32.826813+00:00,19,T,EDGX,1.2,250
2021-06-23 13:38:32.826814+00:00,2021-06-23 13:38:32.826814+00:00,1,T,BYX,1.2,500
2021-06-23 13:38:37.498000+00:00,2021-06-23 13:38:37.498000+00:00,27,T,FINRA,1.1901,3100
2021-06-23 13:39:37.919000+00:00,2021-06-23 13:39:37.919000+00:00,10,T,FINRA,1.1901,100
2021-06-23 13:39:45.838000+00:00,2021-06-23 13:39:45.838000+00:00,11,T,FINRA,1.1979,40
2021-06-23 13:39:52.242000+00:00,2021-06-23 13:39:52.242000+00:00,28,T,FINRA,1.195,71
2021-06-23 13:39:52.242000+00:00,2021-06-23 13:39:52.242000+00:00,29,T,FINRA,1.195,29
2021-06-23 13:39:52.243000+00:00,2021-06-23 13:39:52.243000+00:00,31,T,FINRA,1.195,71
